spectral-norm ; 7368.021789550781250000, 7163.731445312500000000,  ,  ,  143902 
spectral-norm ; 7261.091979980468750000, 7084.560729980468750000,  ,  ,  142920 
spectral-norm ; 7140.989013671875000000, 6955.025451660156250000,  ,  ,  140910 
spectral-norm ; 7430.797912597656250000, 7222.625000000000000000,  ,  ,  148747 
spectral-norm ; 7382.700622558593750000, 7172.364807128906250000,  ,  ,  146254 
spectral-norm ; 7216.177246093750000000, 7022.059082031250000000,  ,  ,  144092 
spectral-norm ; 7018.735229492187500000, 6836.228271484375000000,  ,  ,  140088 
spectral-norm ; -255061.648254394531250000, 6899.454528808593750000,  ,  ,  141998 
spectral-norm ; 7060.596618652343750000, 6875.790100097656250000,  ,  ,  141745 
spectral-norm ; 7303.891662597656250000, -255043.767761230468750000,  ,  ,  146084 
pidigits ; 11.876586914062500000, 11.483032226562500000,  ,  ,  310.823 
pidigits ; 2.876342773437500000, 2.799133300781250000,  ,  ,  71.127 
pidigits ; 2.879760742187500000, 2.788696289062500000,  ,  ,  70.699 
pidigits ; 2.899475097656250000, 2.810424804687500000,  ,  ,  69.636 
pidigits ; 2.825622558593750000, 2.753417968750000000,  ,  ,  71.229 
pidigits ; 2.899414062500000000, 2.829833984375000000,  ,  ,  71.25 
pidigits ; 3.005859375000000000, 2.916320800781250000,  ,  ,  72.88 
pidigits ; 3.053344726562500000, 2.955322265625000000,  ,  ,  73.823 
pidigits ; 3.560974121093750000, 3.460998535156250000,  ,  ,  75.879 
pidigits ; 3.057495117187500000, 2.966064453125000000,  ,  ,  72.918 
mandelbrot ; 9160.350341796875000000, 8931.871948242187500000,  ,  ,  175218 
mandelbrot ; 8973.590759277343750000, 8779.320129394531250000,  ,  ,  172027 
mandelbrot ; 8976.942321777343750000, 8777.529174804687500000,  ,  ,  171969 
mandelbrot ; 9026.016601562500000000, 8816.651733398437500000,  ,  ,  173756 
mandelbrot ; 8838.755676269531250000, 8640.099121093750000000,  ,  ,  170867 
mandelbrot ; 8873.103149414062500000, 8681.751403808593750000,  ,  ,  171844 
mandelbrot ; 8873.001464843750000000, 8678.427307128906250000,  ,  ,  170356 
mandelbrot ; 9069.403137207031250000, 8857.098266601562500000,  ,  ,  173318 
mandelbrot ; 9000.210449218750000000, 8786.693176269531250000,  ,  ,  173818 
mandelbrot ; 9014.164428710937500000, 8802.119018554687500000,  ,  ,  175642 
binary-trees ; 2464.890747070312500000, 2411.020874023437500000,  ,  ,  47219.4 
binary-trees ; 2441.237243652343750000, 2387.920471191406250000,  ,  ,  47180 
binary-trees ; 2471.339111328125000000, 2417.749633789062500000,  ,  ,  47684.4 
binary-trees ; 2461.184020996093750000, 2407.780578613281250000,  ,  ,  47581.7 
binary-trees ; 2469.696289062500000000, 2414.917053222656250000,  ,  ,  47686.6 
binary-trees ; 2472.236633300781250000, 2416.748046875000000000,  ,  ,  47637 
binary-trees ; 2449.439453125000000000, 2395.889770507812500000,  ,  ,  47175.9 
binary-trees ; 2464.228088378906250000, 2410.484924316406250000,  ,  ,  47452 
binary-trees ; 2461.904663085937500000, 2408.901672363281250000,  ,  ,  47265.9 
binary-trees ; 2472.770324707031250000, 2418.891296386718750000,  ,  ,  47400.6 
