spectral-norm ; 35.466979980468750000, 34.498107910156250000,  ,  ,  912.365 
spectral-norm ; 33.713867187500000000, 32.850830078125000000,  ,  ,  883.771 
spectral-norm ; 35.795471191406250000, 34.929931640625000000,  ,  ,  894.005 
spectral-norm ; 34.550048828125000000, 33.694396972656250000,  ,  ,  898.652 
spectral-norm ; 33.721069335937500000, 32.855590820312500000,  ,  ,  891.366 
spectral-norm ; 34.469909667968750000, 33.616821289062500000,  ,  ,  909.654 
spectral-norm ; 33.700439453125000000, 32.861083984375000000,  ,  ,  894.13 
spectral-norm ; 35.398986816406250000, 34.567687988281250000,  ,  ,  884.847 
spectral-norm ; 33.856384277343750000, 33.027770996093750000,  ,  ,  880.972 
spectral-norm ; 33.550476074218750000, 32.719848632812500000,  ,  ,  867.955 
pidigits ; 1.332214355468750000, 1.287048339843750000,  ,  ,  41.564 
pidigits ; 0.976074218750000000, 0.932922363281250000,  ,  ,  29.329 
pidigits ; 0.922119140625000000, 0.892028808593750000,  ,  ,  28.961 
pidigits ; 0.932250976562500000, 0.902587890625000000,  ,  ,  29.115 
pidigits ; 0.907897949218750000, 0.890563964843750000,  ,  ,  28.571 
pidigits ; 0.939575195312500000, 0.897949218750000000,  ,  ,  28.554 
pidigits ; 0.916015625000000000, 0.896911621093750000,  ,  ,  28.325 
pidigits ; 0.975463867187500000, 0.929321289062500000,  ,  ,  28.559 
pidigits ; 0.986389160156250000, 0.969055175781250000,  ,  ,  32.623 
pidigits ; 0.955566406250000000, 0.906921386718750000,  ,  ,  28.402 
mandelbrot ; 124.383056640625000000, 120.286865234375000000,  ,  ,  2303.73 
mandelbrot ; 127.836364746093750000, 123.539123535156250000,  ,  ,  2369.05 
mandelbrot ; 123.086547851562500000, 119.737060546875000000,  ,  ,  2316.07 
mandelbrot ; 124.878723144531250000, 120.846374511718750000,  ,  ,  2369.63 
mandelbrot ; 122.276184082031250000, 118.291015625000000000,  ,  ,  2357.97 
mandelbrot ; 138.553222656250000000, 135.180053710937500000,  ,  ,  2566.3 
mandelbrot ; 124.373657226562500000, 121.723388671875000000,  ,  ,  2313.89 
mandelbrot ; 131.115112304687500000, 127.626403808593750000,  ,  ,  2436.59 
mandelbrot ; 132.567932128906250000, 128.950317382812500000,  ,  ,  2408.19 
mandelbrot ; 121.509704589843750000, 119.209899902343750000,  ,  ,  2280.47 
binary-trees ; 160.426391601562500000, 154.208984375000000000,  ,  ,  3448.82 
binary-trees ; 162.775878906250000000, 155.431457519531250000,  ,  ,  3471.12 
binary-trees ; 150.688293457031250000, 144.243408203125000000,  ,  ,  3261.41 
binary-trees ; 148.217834472656250000, 142.836914062500000000,  ,  ,  3251.12 
binary-trees ; 135.065979003906250000, 130.671936035156250000,  ,  ,  2994.01 
binary-trees ; 146.594299316406250000, 140.311828613281250000,  ,  ,  3193.32 
binary-trees ; 171.385314941406250000, 164.562072753906250000,  ,  ,  3616.37 
binary-trees ; 164.637084960937500000, 158.491821289062500000,  ,  ,  3608.52 
binary-trees ; 143.686706542968750000, 137.789367675781250000,  ,  ,  3136.29 
binary-trees ; 148.023742675781250000, 142.412475585937500000,  ,  ,  3237.24 
